"","matrix..","depth","width"
"1",NA,NA,NA
"CEBI2_d",NA,2.74704561057895,1.16358129884211
"LEVU_d",NA,2.48527108578431,0.773537694333333
"TRCA5",NA,3.0996685662,0.7165100333
"CIIN_r",NA,2.3225024098,0.8916930371
"ERAN_d",NA,2.01517453358333,0.470222814166667
"ASSY",NA,2.2181706083125,2.2069361794375
"APCA",NA,2.84284204146667,2.1388842525
"ASTU",NA,1.8713880363,1.81607981665
"TRPR2",NA,9.81317069365,0.8466241787
"ECPU_d",NA,4.6348506164,1.2797566536
"HEHE5_d",NA,4.25438760823333,0.916529562866667
"CIAR4_d",NA,9.40166666666667,0.874320110433333
"COLA5_d",NA,4.70658632319048,1.10074998795238
"COLA5_r",NA,2.6669193011,1.2498543803
"CECY2_r",NA,14.1425,3.98188014575
"LYSA2",NA,5.66160829956667,2.59320055543333
"PRVU",NA,3.31216325110638,1.01522467395745
"PEDI",NA,7.28769230769231,2.46615384615385
"MEAR4",NA,3.95462873705556,1.04479029819444
"ERST3_d",NA,1.7332145667,0.44601002135
"GAPU_d",NA,6.0234876277619,1.68304046380952
"CIVU",NA,30.4936666666667,0.4123903311
"COTI3_d",NA,1.62429787485,0.3007769787
"ACMI2_d",NA,0.951242993259259,0.357220760574074
"MOFI",NA,15.9303333333333,2.95539212846667
"RHCO",NA,1.03506339706667,1.75277245073333
"CENI3",NA,1.62946410836667,0.5014085084
"PLLA",NA,1.1987932587,0.3091792047
"RUHI2_d",NA,1.6615969452,0.37622669665
"PYTE",NA,3.8399307838,1.79523775446667
"VENO",NA,2.93589669346667,0.600304978133333
"RULA3_d",NA,1.03143000205,0.40552094365
"TRRE3",NA,1.9834930323,0.5644252027
"VEHA2",NA,1.70269972603333,0.694319073433333
"DEPA6",NA,0.615973993933333,0.758471203633333
"PYMU",NA,1.4362129124,0.585430767466667
"HEAU_d",NA,1.352304197,0.425788475
"BIAR_d",NA,2.0541739193,0.63953428965
"EUMA9",NA,2.24986630245833,0.434162315166667
"EUPE9",NA,1.28485930243333,0.3992192742
"SOCA6_d",NA,2.1321783679,0.6011281692
"LOIN",NA,3.30866031042857,1.7321886192381
"SYRA5_d",NA,2.37819894875,0.80567695255
"EUSE2",NA,2.45706842036842,0.841851045
"SYNO2_d",NA,4.91649436435,0.88359624355
"HEDE_d",NA,2.14909636341667,0.50101110575
"EUGR5",NA,1.1774470631,0.416477900366667
"MOPU",NA,15.9613333333333,1.7324481474
"AGALA",NA,2.71718553033333,0.865202181410256
"SYLA6_d",NA,1.86512383625,0.5710675028
"COCA5_d",NA,1.08116209595,0.1582229973
"CHFA_f",NA,0,0
"DACA6",NA,0,0
"GAPA3",NA,0,0
"HYPE",NA,0,0
"OXST",NA,0,0
"PHAM4",NA,0,0
"POPE2",NA,0,0
"PORE5",NA,0,0
"RABU",NA,0,0
"SOCA3",NA,0,0
"TRPE4",NA,0,0
"ROMU",NA,0,0
"PONO3",NA,0,0
